date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:33:27	67/67	---MCZ	200	added ('OK')	text/plain	date:Fri,%2004%20Jun%202021%2016:33:27%20GMT	https://sites.google.com/robots.txt		(from )
01:33:27	613415/613415	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jun%202021%2016:33:26%20GMT	https://sites.google.com/site/riparaincangku/%e3%83%9b%e3%83%bc%e3%83%a0	C:/My%20Web%20Sites/lineparine_soko/sites.google.com/site/riparaincangku/%e3%83%9b%e3%83%bc%e3%83%a0.html	(from )
01:33:28	297036/297036	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Oct%202019%2010:15:00%20GMT	https://ssl.gstatic.com/atari/images/simple-header-blended-small.png	C:/My%20Web%20Sites/lineparine_soko/ssl.gstatic.com/atari/images/simple-header-blended-small.png	(from https://sites.google.com/site/riparaincangku/%e3%83%9b%e3%83%bc%e3%83%a0)
01:33:28	12537/12537	---MC-	200	added ('OK')	application/javascript	date:Fri,%2004%20Jun%202021%2016:33:28%20GMT	https://apis.google.com/js/client.js?onload=gapiLoaded	C:/My%20Web%20Sites/lineparine_soko/apis.google.com/js/clientc932.js	(from https://sites.google.com/site/riparaincangku/%e3%83%9b%e3%83%bc%e3%83%a0)
01:33:30	615056/615056	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jun%202021%2016:33:29%20GMT	https://sites.google.com/site/riparaincangku/espertao-lkurftless-io-ftless	C:/My%20Web%20Sites/lineparine_soko/sites.google.com/site/riparaincangku/espertao-lkurftless-io-ftless.html	(from https://sites.google.com/site/riparaincangku/%e3%83%9b%e3%83%bc%e3%83%a0)
01:33:31	629537/629537	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jun%202021%2016:33:30%20GMT	https://sites.google.com/site/riparaincangku/leiju-fon-aldasryrle	C:/My%20Web%20Sites/lineparine_soko/sites.google.com/site/riparaincangku/leiju-fon-aldasryrle.html	(from https://sites.google.com/site/riparaincangku/%e3%83%9b%e3%83%bc%e3%83%a0)
01:33:31	613515/613515	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jun%202021%2016:33:30%20GMT	https://sites.google.com/site/riparaincangku/lipadiax	C:/My%20Web%20Sites/lineparine_soko/sites.google.com/site/riparaincangku/lipadiax.html	(from https://sites.google.com/site/riparaincangku/%e3%83%9b%e3%83%bc%e3%83%a0)
01:33:32	623068/623068	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jun%202021%2016:33:31%20GMT	https://sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e	C:/My%20Web%20Sites/lineparine_soko/sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e.html	(from https://sites.google.com/site/riparaincangku/%e3%83%9b%e3%83%bc%e3%83%a0)
01:33:32	47824/47824	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Fri,%2004%20Jun%202021%2016:33:31%20GMT	https://sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/adle	C:/My%20Web%20Sites/lineparine_soko/sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/adle.html	(from https://sites.google.com/site/riparaincangku/%e3%83%9b%e3%83%bc%e3%83%a0)
01:33:32	621554/621554	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jun%202021%2016:33:32%20GMT	https://sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/bad-apple	C:/My%20Web%20Sites/lineparine_soko/sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/bad-apple.html	(from https://sites.google.com/site/riparaincangku/%e3%83%9b%e3%83%bc%e3%83%a0)
01:33:33	617198/617198	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jun%202021%2016:33:32%20GMT	https://sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/cecorelm-es-da	C:/My%20Web%20Sites/lineparine_soko/sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/cecorelm-es-da.html	(from https://sites.google.com/site/riparaincangku/%e3%83%9b%e3%83%bc%e3%83%a0)
01:33:33	616744/616744	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Jun%202021%2016:33:32%20GMT	https://sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/cene-senost-snirorvo	C:/My%20Web%20Sites/lineparine_soko/sites.google.com/site/riparaincangku/lipadiax/acirlo%e6%ad%8c%e8%a9%9e/cene-senost-snirorvo.html	(from https://sites.google.com/site/riparaincangku/%e3%83%9b%e3%83%bc%e3%83%a0)
